"index","date","location","speed","position","daytime","weather","class","source direction","mic","channel"
"62","2019-11-19-15-25","Langewiesener-Strasse","50","683064","A","D","C","L","SE","34"
"63","2019-11-19-07-25","Langewiesener-Strasse","50","1001312","M","D","C","R","SE","34"
"64","2019-11-18-15-45","Langewiesener-Strasse","50","784952","A","D","C","R","SE","34"
"65","2019-10-23-16-20","Fraunhofer-IDMT","30","162072","A","D","C","L","SE","34"
"66","2019-11-19-15-25","Langewiesener-Strasse","50","3072301","A","D","C","L","SE","34"
"67","2019-11-12-09-00","Schleusinger-Allee","70","966829","M","W","T","L","SE","34"
"68","2019-11-19-07-25","Langewiesener-Strasse","50","698624","M","D","C","L","SE","34"
"69","2019-11-12-09-00","Schleusinger-Allee","70","2877634","M","W","C","L","SE","34"
"70","2019-11-18-07-25","Langewiesener-Strasse","50","1318040","M","D","C","R","SE","34"
"71","2019-11-19-15-25","Langewiesener-Strasse","50","2018040","A","D","C","L","SE","34"
"72","2019-11-13-08-00","Schleusinger-Allee","70","2086088","M","W","C","R","SE","34"
"73","2019-10-23-16-20","Fraunhofer-IDMT","30","2565826","A","D","C","L","SE","34"
"74","2019-11-19-08-30","Langewiesener-Strasse","50","700616","M","D","C","L","SE","34"
"75","2019-11-13-15-55","Schleusinger-Allee","70","976066","A","D","C","R","SE","34"
"76","2019-11-19-07-25","Langewiesener-Strasse","50","17576","M","D","C","R","SE","34"
"77","2019-10-22-15-30","Fraunhofer-IDMT","30","3514157","A","D","C","L","SE","34"
"78","2019-11-12-16-00","Schleusinger-Allee","70","2020226","A","W","T","L","SE","34"
"79","2019-11-19-15-25","Langewiesener-Strasse","50","828936","A","D","C","L","SE","34"
"80","2019-11-19-16-30","Langewiesener-Strasse","50","706832","A","D","C","R","SE","34"
"81","2019-11-19-07-25","Langewiesener-Strasse","50","2505056","M","D","C","R","SE","34"
"82","2019-11-12-09-00","Schleusinger-Allee","70","3549800","M","W","C","L","SE","34"
"83","2019-11-19-16-30","Langewiesener-Strasse","50","1768160","A","D","T","L","SE","34"
"84","2019-11-19-07-25","Langewiesener-Strasse","50","3504680","M","D","C","R","SE","34"
"85","2020-08-29-12-07","Hohenwarte","unknown","6180986","M","D","M","L","SE","12"
"86","2019-10-22-08-40","Fraunhofer-IDMT","30","1620056","M","D","C","R","SE","34"
"87","2019-11-12-16-00","Schleusinger-Allee","70","1590680","A","W","C","R","SE","34"
"88","2019-11-18-16-40","Langewiesener-Strasse","50","1742408","A","D","C","R","SE","34"
"89","2019-11-12-16-00","Schleusinger-Allee","70","81224","A","W","C","R","SE","34"
"90","2019-11-13-15-55","Schleusinger-Allee","70","2483138","A","D","C","R","SE","34"
"91","2020-08-29-14-02","Hohenwarte","unknown","3661400","M","D","M","R","SE","12"
"92","2019-11-18-16-40","Langewiesener-Strasse","50","670733","A","D","C","R","SE","34"
"93","2019-10-22-15-30","Fraunhofer-IDMT","30","1953549","A","D","C","L","SE","34"
"94","2019-11-19-08-30","Langewiesener-Strasse","50","1468024","M","D","C","R","SE","34"
"95","2019-11-19-15-25","Langewiesener-Strasse","50","3064301","A","D","C","L","SE","34"
"96","2019-11-19-08-30","Langewiesener-Strasse","50","852584","M","D","C","L","SE","34"
"97","2019-11-18-16-40","Langewiesener-Strasse","50","2251805","A","D","C","R","SE","34"
"98","2019-11-19-15-25","Langewiesener-Strasse","50","661432","A","D","C","L","SE","34"
"99","2019-10-23-08-35","Fraunhofer-IDMT","30","3223704","M","D","C","R","SE","34"
"100","2019-11-18-16-40","Langewiesener-Strasse","50","490973","A","D","T","R","SE","34"
"101","2019-11-13-08-00","Schleusinger-Allee","70","3256781","M","W","C","L","SE","34"
"102","2019-11-13-15-55","Schleusinger-Allee","70","2253805","A","D","C","R","SE","34"
"103","2019-11-13-15-55","Schleusinger-Allee","70","909346","A","D","C","R","SE","34"
"104","2019-11-19-07-25","Langewiesener-Strasse","50","3001904","M","D","C","L","SE","34"
"105","2019-11-13-15-55","Schleusinger-Allee","70","673544","A","D","C","R","SE","34"
"106","2019-11-19-07-25","Langewiesener-Strasse","50","744416","M","D","T","L","SE","34"
"107","2019-11-19-07-25","Langewiesener-Strasse","50","3520592","M","D","T","L","SE","34"
"108","2019-11-18-07-25","Langewiesener-Strasse","50","45080","M","D","C","R","SE","34"
"109","2019-11-18-15-45","Langewiesener-Strasse","50","1204674","A","D","C","R","SE","34"
"110","2019-11-18-16-40","Langewiesener-Strasse","50","75319","A","D","C","L","SE","34"
"111","2019-11-19-15-25","Langewiesener-Strasse","50","3321240","A","D","C","L","SE","34"
"112","2019-10-22-16-35","Fraunhofer-IDMT","30","693176","A","D","C","L","SE","34"
"113","2019-11-12-09-00","Schleusinger-Allee","70","3135597","M","W","C","L","SE","34"
"114","2020-08-29-12-07","Hohenwarte","unknown","598780","M","D","M","R","SE","12"
"115","2019-11-13-15-55","Schleusinger-Allee","70","1703000","A","D","T","R","SE","34"
"116","2019-11-19-15-25","Langewiesener-Strasse","50","3553400","A","D","C","L","SE","34"
"117","2019-11-19-15-25","Langewiesener-Strasse","50","3570680","A","D","C","L","SE","34"
"118","2020-08-29-16-07","Hohenwarte","unknown","3215573","M","D","M","R","SE","12"
"119","2019-10-22-15-30","Fraunhofer-IDMT","30","2491000","A","D","C","R","SE","34"
"120","2019-10-23-16-20","Fraunhofer-IDMT","30","826392","A","D","C","L","SE","34"
"121","2020-08-29-12-07","Hohenwarte","unknown","811104","M","D","M","R","SE","12"
"122","2019-11-19-16-30","Langewiesener-Strasse","50","857480","A","D","C","L","SE","34"
"123","2019-11-19-15-25","Langewiesener-Strasse","50","2486424","A","D","C","R","SE","34"
"124","2019-11-13-08-00","Schleusinger-Allee","70","1371512","M","W","C","L","SE","34"
"125","2019-10-23-16-20","Fraunhofer-IDMT","30","325208","A","D","C","L","SE","34"
"126","2019-11-18-16-40","Langewiesener-Strasse","50","1904728","A","D","C","R","SE","34"
"127","2019-11-19-16-30","Langewiesener-Strasse","50","1380488","A","D","C","R","SE","34"
"128","2019-10-22-16-35","Fraunhofer-IDMT","30","1788184","A","D","C","L","SE","34"
"129","2019-10-23-16-20","Fraunhofer-IDMT","30","572024","A","D","C","L","SE","34"
"130","2019-11-19-15-25","Langewiesener-Strasse","50","2985602","A","D","C","L","SE","34"
"131","2019-11-19-08-30","Langewiesener-Strasse","50","1497896","M","D","T","R","SE","34"
"132","2019-11-19-07-25","Langewiesener-Strasse","50","1461536","M","D","C","R","SE","34"
"133","2019-10-23-16-20","Fraunhofer-IDMT","30","819480","A","D","C","R","SE","34"
"134","2020-08-29-16-07","Hohenwarte","unknown","2162752","M","D","M","L","SE","12"
"135","2019-11-18-07-25","Langewiesener-Strasse","50","1288760","M","D","T","L","SE","34"
"136","2019-11-13-08-00","Schleusinger-Allee","70","3032669","M","W","T","L","SE","34"
"137","2019-11-19-08-30","Langewiesener-Strasse","50","358400","M","D","C","R","SE","34"
"138","2019-10-22-15-30","Fraunhofer-IDMT","30","2174637","A","D","C","R","SE","34"
"139","2019-10-22-15-30","Fraunhofer-IDMT","30","1420653","A","D","C","L","SE","34"
"140","2019-11-13-08-00","Schleusinger-Allee","70","1070455","M","W","C","L","SE","34"
"141","2020-08-29-12-07","Hohenwarte","unknown","1909056","M","D","M","R","SE","12"
"142","2019-11-19-07-25","Langewiesener-Strasse","50","3451592","M","D","C","R","SE","34"
"143","2019-11-12-10-00","Schleusinger-Allee","70","784813","M","W","C","L","SE","34"
"144","2019-11-18-15-45","Langewiesener-Strasse","50","404168","A","D","C","R","SE","34"
"145","2019-11-19-16-30","Langewiesener-Strasse","50","215312","A","D","C","R","SE","34"
"146","2020-08-29-12-07","Hohenwarte","unknown","6131533","M","D","M","L","SE","12"
"147","2019-11-19-07-25","Langewiesener-Strasse","50","34376","M","D","C","R","SE","34"
"148","2019-10-23-08-35","Fraunhofer-IDMT","30","1051672","M","D","T","L","SE","34"
"149","2019-10-22-16-35","Fraunhofer-IDMT","30","1285400","A","D","C","R","SE","34"
"150","2019-11-13-15-55","Schleusinger-Allee","70","1205949","A","D","C","R","SE","34"
"151","2019-11-18-16-40","Langewiesener-Strasse","50","2185613","A","D","C","R","SE","34"
"152","2019-11-13-08-00","Schleusinger-Allee","70","2359448","M","W","C","L","SE","34"
"153","2019-11-18-15-45","Langewiesener-Strasse","50","846776","A","D","C","L","SE","34"
"154","2019-11-18-15-45","Langewiesener-Strasse","50","1304386","A","D","C","R","SE","34"
"155","2019-11-12-09-00","Schleusinger-Allee","70","2913133","M","W","C","R","SE","34"
"156","2019-11-13-15-55","Schleusinger-Allee","70","33880","A","D","C","R","SE","34"
"157","2019-11-18-15-45","Langewiesener-Strasse","50","16173","A","D","C","R","SE","34"
"158","2019-11-19-15-25","Langewiesener-Strasse","50","2612290","A","D","C","L","SE","34"
"159","2019-11-13-08-00","Schleusinger-Allee","70","2233160","M","W","C","R","SE","34"
"160","2019-11-19-07-25","Langewiesener-Strasse","50","2990192","M","D","C","R","SE","34"
"161","2019-11-18-16-40","Langewiesener-Strasse","50","577346","A","D","C","L","SE","34"
"162","2019-11-13-15-55","Schleusinger-Allee","70","1524696","A","D","T","L","SE","34"
"163","2020-08-29-14-02","Hohenwarte","unknown","1304573","M","D","M","L","SE","12"
"164","2019-11-19-15-25","Langewiesener-Strasse","50","1098071","A","D","C","L","SE","34"
"165","2019-11-19-08-30","Langewiesener-Strasse","50","1009688","M","D","T","R","SE","34"
"166","2019-11-19-07-25","Langewiesener-Strasse","50","2436583","M","D","C","R","SE","34"
"167","2019-11-18-07-25","Langewiesener-Strasse","50","1053848","M","D","C","R","SE","34"
"168","2020-08-29-14-02","Hohenwarte","unknown","1575026","M","D","M","L","SE","12"
"169","2019-11-12-10-00","Schleusinger-Allee","70","439960","M","W","T","L","SE","34"
"170","2019-11-19-16-30","Langewiesener-Strasse","50","1181263","A","D","C","L","SE","34"
"171","2019-11-12-16-00","Schleusinger-Allee","70","657847","A","W","C","L","SE","34"
"172","2019-10-22-15-30","Fraunhofer-IDMT","30","457752","A","D","C","R","SE","34"
"173","2019-11-18-15-45","Langewiesener-Strasse","50","1920640","A","D","T","R","SE","34"
"174","2019-11-19-16-30","Langewiesener-Strasse","50","54381","A","D","C","L","SE","34"
"175","2019-11-12-10-00","Schleusinger-Allee","70","320920","M","W","C","L","SE","34"
"176","2019-11-19-15-25","Langewiesener-Strasse","50","2875565","A","D","C","R","SE","34"
"177","2019-10-22-08-40","Fraunhofer-IDMT","30","810776","M","D","C","R","SE","34"
"178","2019-11-19-16-30","Langewiesener-Strasse","50","1020560","A","D","C","R","SE","34"
"179","2019-11-19-07-25","Langewiesener-Strasse","50","1073984","M","D","C","R","SE","34"
"180","2019-11-19-15-25","Langewiesener-Strasse","50","1689944","A","D","C","R","SE","34"
"181","2019-11-13-15-55","Schleusinger-Allee","70","1750722","A","D","C","R","SE","34"
"182","2019-11-13-15-55","Schleusinger-Allee","70","1555778","A","D","C","L","SE","34"
"183","2019-11-19-15-25","Langewiesener-Strasse","50","1146263","A","D","C","R","SE","34"
"184","2019-11-18-15-45","Langewiesener-Strasse","50","1012328","A","D","C","R","SE","34"
"185","2019-11-13-15-55","Schleusinger-Allee","70","2987906","A","D","C","R","SE","34"
"186","2019-11-12-09-00","Schleusinger-Allee","70","2748269","M","W","C","R","SE","34"
"187","2019-11-13-15-55","Schleusinger-Allee","70","2185410","A","D","C","L","SE","34"
"188","2019-11-18-15-45","Langewiesener-Strasse","50","1783320","A","D","C","L","SE","34"
"189","2019-11-18-15-45","Langewiesener-Strasse","50","2570360","A","D","C","R","SE","34"
"190","2019-11-13-15-55","Schleusinger-Allee","70","3157112","A","D","T","L","SE","34"
"191","2019-11-13-08-00","Schleusinger-Allee","70","3214781","M","W","C","L","SE","34"
"192","2019-11-13-15-55","Schleusinger-Allee","70","2028632","A","D","C","L","SE","34"
"193","2019-11-18-07-25","Langewiesener-Strasse","50","408440","M","D","T","L","SE","34"
"194","2019-11-13-15-30","Schleusinger-Allee","70","318680","A","D","C","L","SE","34"
"195","2019-11-12-09-00","Schleusinger-Allee","70","636973","M","W","T","R","SE","34"
"196","2019-11-12-09-00","Schleusinger-Allee","70","1483544","M","W","C","L","SE","34"
"197","2019-11-13-08-00","Schleusinger-Allee","70","1020536","M","W","C","L","SE","34"
"198","2019-11-19-07-25","Langewiesener-Strasse","50","286423","M","D","C","L","SE","34"
"199","2019-11-18-16-40","Langewiesener-Strasse","50","1552520","A","D","C","L","SE","34"
"200","2019-11-13-08-00","Schleusinger-Allee","70","1035848","M","W","C","L","SE","34"
"201","2019-11-12-10-00","Schleusinger-Allee","70","225560","M","W","C","R","SE","34"
"202","2019-11-12-16-00","Schleusinger-Allee","70","2055533","A","W","C","R","SE","34"
"203","2019-11-18-15-45","Langewiesener-Strasse","50","2631295","A","D","C","L","SE","34"
"204","2019-11-19-07-25","Langewiesener-Strasse","50","2198864","M","D","C","L","SE","34"
"205","2019-11-19-16-30","Langewiesener-Strasse","50","1293296","A","D","C","L","SE","34"
"206","2019-11-19-16-30","Langewiesener-Strasse","50","1757840","A","D","C","R","SE","34"
"207","2019-11-18-07-25","Langewiesener-Strasse","50","1413944","M","D","C","L","SE","34"
"208","2019-11-18-07-25","Langewiesener-Strasse","50","265346","M","D","C","L","SE","34"
"209","2019-11-18-07-25","Langewiesener-Strasse","50","1685528","M","D","C","R","SE","34"
"210","2019-11-19-15-25","Langewiesener-Strasse","50","2638082","A","D","C","L","SE","34"
"211","2020-08-29-12-07","Hohenwarte","unknown","6056520","M","D","M","L","SE","12"
"212","2019-11-12-09-00","Schleusinger-Allee","70","777026","M","W","C","R","SE","34"
"213","2020-08-29-12-07","Hohenwarte","unknown","1946544","M","D","M","R","SE","12"
"214","2019-10-22-16-35","Fraunhofer-IDMT","30","850370","A","D","C","R","SE","34"
"215","2019-11-13-08-00","Schleusinger-Allee","70","2847384","M","W","C","L","SE","34"
"216","2019-11-18-07-25","Langewiesener-Strasse","50","1248920","M","D","T","L","SE","34"
"217","2019-11-13-08-00","Schleusinger-Allee","70","1982744","M","W","T","L","SE","34"
"218","2019-11-19-16-30","Langewiesener-Strasse","50","433904","A","D","C","L","SE","34"
"219","2019-11-19-15-25","Langewiesener-Strasse","50","3335362","A","D","C","R","SE","34"
"220","2019-11-19-16-30","Langewiesener-Strasse","50","1043528","A","D","C","L","SE","34"
"221","2019-11-18-15-45","Langewiesener-Strasse","50","2202152","A","D","C","R","SE","34"
"222","2019-11-12-09-00","Schleusinger-Allee","70","86360","M","W","C","L","SE","34"
"223","2019-11-13-15-55","Schleusinger-Allee","70","3561026","A","D","C","L","SE","34"
"224","2020-08-29-14-02","Hohenwarte","unknown","5312180","M","D","M","L","SE","12"
"225","2019-10-23-08-35","Fraunhofer-IDMT","30","984216","M","D","C","L","SE","34"
"226","2019-11-19-16-30","Langewiesener-Strasse","50","1899152","A","D","T","L","SE","34"
"227","2019-11-19-08-30","Langewiesener-Strasse","50","884648","M","D","C","L","SE","34"
"228","2019-11-19-07-25","Langewiesener-Strasse","50","1165520","M","D","C","L","SE","34"
"229","2019-11-18-16-40","Langewiesener-Strasse","50","1491464","A","D","C","R","SE","34"
"230","2019-10-22-08-40","Fraunhofer-IDMT","30","1617240","M","D","C","R","SE","34"
"231","2019-11-13-15-55","Schleusinger-Allee","70","3276098","A","D","C","R","SE","34"
"232","2019-10-22-08-40","Fraunhofer-IDMT","30","515266","M","D","C","R","SE","34"
"233","2019-11-19-16-30","Langewiesener-Strasse","50","1906304","A","D","C","L","SE","34"
"234","2019-11-18-07-25","Langewiesener-Strasse","50","730520","M","D","C","R","SE","34"
"235","2019-11-12-09-00","Schleusinger-Allee","70","1067970","M","W","C","L","SE","34"
"236","2019-11-13-15-55","Schleusinger-Allee","70","3583640","A","D","C","R","SE","34"
"237","2019-11-18-15-45","Langewiesener-Strasse","50","1565016","A","D","C","L","SE","34"
"238","2019-11-19-15-25","Langewiesener-Strasse","50","837288","A","D","C","R","SE","34"
"239","2019-11-12-16-00","Schleusinger-Allee","70","908984","A","W","C","R","SE","34"
"240","2020-08-29-11-02","Hohenwarte","unknown","482024","M","D","M","L","SE","12"
"241","2019-11-19-07-25","Langewiesener-Strasse","50","1186544","M","D","C","L","SE","34"
"242","2019-11-18-16-40","Langewiesener-Strasse","50","2155149","A","D","C","R","SE","34"
"243","2019-11-18-16-40","Langewiesener-Strasse","50","1622600","A","D","T","L","SE","34"
"244","2019-11-13-15-55","Schleusinger-Allee","70","471992","A","D","C","R","SE","34"
"245","2019-11-12-09-00","Schleusinger-Allee","70","630466","M","W","C","R","SE","34"
"246","2019-11-13-15-55","Schleusinger-Allee","70","514919","A","D","T","L","SE","34"
"247","2019-11-13-15-55","Schleusinger-Allee","70","720765","A","D","C","R","SE","34"
"248","2019-11-19-15-25","Langewiesener-Strasse","50","1143640","A","D","C","L","SE","34"
"249","2019-11-13-08-00","Schleusinger-Allee","70","387560","M","W","T","R","SE","34"
"250","2019-11-12-16-00","Schleusinger-Allee","70","1966360","A","W","T","L","SE","34"
"251","2019-11-19-08-30","Langewiesener-Strasse","50","1235192","M","D","C","R","SE","34"
"252","2019-11-18-16-40","Langewiesener-Strasse","50","961640","A","D","C","L","SE","34"
"253","2019-11-13-15-30","Schleusinger-Allee","70","307693","A","D","C","R","SE","34"
"254","2019-11-13-15-30","Schleusinger-Allee","70","1147757","A","D","C","L","SE","34"
"255","2019-11-18-15-45","Langewiesener-Strasse","50","434888","A","D","C","L","SE","34"
"256","2019-11-18-07-25","Langewiesener-Strasse","50","13986","M","D","C","L","SE","34"
"257","2019-11-19-08-30","Langewiesener-Strasse","50","465080","M","D","C","L","SE","34"
"258","2020-08-29-14-02","Hohenwarte","unknown","3318846","M","D","M","L","SE","12"
"259","2019-11-13-15-55","Schleusinger-Allee","70","2290328","A","D","T","R","SE","34"
"260","2020-08-29-14-02","Hohenwarte","unknown","4659841","M","D","M","L","SE","12"
"261","2019-10-22-08-40","Fraunhofer-IDMT","30","1774424","M","D","C","R","SE","34"
"262","2019-11-12-16-00","Schleusinger-Allee","70","404792","A","W","C","L","SE","34"
"263","2019-11-13-15-30","Schleusinger-Allee","70","947053","A","D","T","L","SE","34"
"264","2019-11-19-16-30","Langewiesener-Strasse","50","416360","A","D","C","L","SE","34"
"265","2019-11-19-15-25","Langewiesener-Strasse","50","357624","A","D","C","L","SE","34"
"266","2019-11-12-16-00","Schleusinger-Allee","70","1531544","A","W","C","L","SE","34"
"267","2019-11-12-09-00","Schleusinger-Allee","70","2072696","M","W","C","L","SE","34"
"268","2019-11-19-15-25","Langewiesener-Strasse","50","3119960","A","D","C","R","SE","34"
"269","2019-11-18-07-25","Langewiesener-Strasse","50","1669544","M","D","C","L","SE","34"
"270","2019-10-22-16-35","Fraunhofer-IDMT","30","1512045","A","D","C","L","SE","34"
"271","2019-10-23-16-20","Fraunhofer-IDMT","30","552919","A","D","C","R","SE","34"
"272","2019-11-12-09-00","Schleusinger-Allee","70","17026","M","W","C","L","SE","34"
"273","2020-08-29-16-07","Hohenwarte","unknown","2735500","M","D","M","L","SE","12"
"274","2019-11-19-15-25","Langewiesener-Strasse","50","1257544","A","D","C","L","SE","34"
"275","2019-11-19-08-30","Langewiesener-Strasse","50","1375256","M","D","C","L","SE","34"
"276","2019-10-22-08-40","Fraunhofer-IDMT","30","790210","M","D","C","R","SE","34"
"277","2019-11-13-15-55","Schleusinger-Allee","70","3549250","A","D","C","R","SE","34"
"278","2019-11-19-15-25","Langewiesener-Strasse","50","423872","A","D","C","L","SE","34"
"279","2019-11-19-15-25","Langewiesener-Strasse","50","1756264","A","D","C","R","SE","34"
"280","2019-11-12-09-00","Schleusinger-Allee","70","3210264","M","W","C","L","SE","34"
"281","2019-11-12-09-00","Schleusinger-Allee","70","1107394","M","W","C","L","SE","34"
"282","2019-11-19-16-30","Langewiesener-Strasse","50","248672","A","D","C","L","SE","34"
"283","2019-10-22-08-40","Fraunhofer-IDMT","30","360920","M","D","B","R","SE","34"
"284","2019-11-18-16-40","Langewiesener-Strasse","50","902936","A","D","T","L","SE","34"
"285","2019-11-12-16-00","Schleusinger-Allee","70","196952","A","W","C","R","SE","34"
"286","2019-11-12-16-00","Schleusinger-Allee","70","769784","A","W","C","R","SE","34"
"287","2019-11-12-10-00","Schleusinger-Allee","70","355906","M","W","C","R","SE","34"
"288","2019-11-19-08-30","Langewiesener-Strasse","50","45784","M","D","C","L","SE","34"
"289","2019-11-19-16-30","Langewiesener-Strasse","50","1685408","A","D","C","R","SE","34"
"290","2019-10-23-16-20","Fraunhofer-IDMT","30","373496","A","D","C","R","SE","34"
"291","2019-11-12-10-00","Schleusinger-Allee","70","1280205","M","W","C","L","SE","34"
"292","2019-11-12-09-00","Schleusinger-Allee","70","3452072","M","W","T","R","SE","34"
"293","2020-08-29-12-07","Hohenwarte","unknown","3326888","M","D","M","R","SE","12"
"294","2019-11-19-16-30","Langewiesener-Strasse","50","1402736","A","D","C","L","SE","34"
"295","2019-11-19-07-25","Langewiesener-Strasse","50","1351064","M","D","B","L","SE","34"
"296","2019-11-19-16-30","Langewiesener-Strasse","50","609559","A","D","C","L","SE","34"
"297","2019-11-18-07-25","Langewiesener-Strasse","50","1270664","M","D","T","R","SE","34"
"298","2019-10-22-08-40","Fraunhofer-IDMT","30","1137602","M","D","C","L","SE","34"
"299","2019-10-22-16-35","Fraunhofer-IDMT","30","1361346","A","D","T","L","SE","34"
"300","2019-11-18-07-25","Langewiesener-Strasse","50","1797128","M","D","C","L","SE","34"
"301","2019-11-19-15-25","Langewiesener-Strasse","50","1003032","A","D","T","L","SE","34"
"302","2019-11-18-16-40","Langewiesener-Strasse","50","965384","A","D","T","L","SE","34"
"303","2019-11-18-16-40","Langewiesener-Strasse","50","243906","A","D","C","L","SE","34"
"304","2019-11-12-16-00","Schleusinger-Allee","70","602168","A","W","C","R","SE","34"
"305","2019-11-18-15-45","Langewiesener-Strasse","50","2334610","A","D","C","L","SE","34"
"306","2020-08-29-14-02","Hohenwarte","unknown","2239373","M","D","M","L","SE","12"
